	RUT	N°ALUMNO	SEXO	CURRICULUM	CODIGO PROGRAMA	PROGRAMA	CODIGO PREFERENCIA ESPECIALIDAD	PREFERENCIA ESPECIALIDAD	CODIGO PREFERENCIA MAJOR	PREFERENCIA MAJOR	CODIGO MAJOR SELECCIONADO	MAJOR SELECCIONADO	CODIGO MINOR SELECCIONADO	MINOR SELECCIONADO	TRACK/ÁREA	PLAN DE ESTUDIOS PERSONALIZADO	ESTADO	AÑO INGRESO	VÍA DE INGRESO	TIPO INGRESO ESPECIAL	PROM. PPA	TOTAL CRÉDITOS APROBADOS	TOTAL CRÉDITOS CONVALIDADOS	TOTAL CRÉDITOS APROBADOS+CONVALIDADOS	TOTAL CRÉDITOS REPROBADOS	TOTAL CRÉDITOS INSCRITOS	ESTUDIOS VIGENTES(PARALELO)	ESTUDIOS NO VIGENTES(FINALIZADOS POR ALGÚN MOTIVO)	LICENCIADO	FECHA LIC.	EGRESADO	FECHA EGR.	TITULADO	COLEGIO REGIÓN	COLEGIO TIPO	COLEGIO EGRESO	ESTADO DSRD ACTUAL	TIPO INGRESO	PUESTO
397	436	436	M	C2013	40013	ING CIVIL	-	No lo tengo claro aún	81007	MAJOR EN INGENIERÍA MINERA	81007	MAJOR EN INGENIERÍA MINERA	81142	MINOR DE PROFUNDIDAD EN GESTIÓN MINERA		NO	REGULAR	2013	ORDINARIA PAA		"5,68"	510	0	510	0	540	ING CIVIL		NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	100	-	245
398	438	438	M	C2013	40013	ING CIVIL	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81113	MINOR DE AMPLITUD EN EXTERNALIDADES DE TRANSPORTE		SI	REGULAR	2013	ORDINARIA PAA		"5,06"	455	0	455	50	555	ING CIVIL		NO		NO		NO	II	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	602
399	439	439	F	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81008	MAJOR EN INGENIERÍA MECÁNICA	81145	MINOR DE PROFUNDIDAD EN MECATRÓNICA		NO	REGULAR	2013	ORDINARIA PAA		"5,23"	355	0	355	20	415	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	619
400	440	440	M	C2013	40013	ING CIVIL	 	 	81001	MAJOR EN INGENIERÍA QUÍMICA	81001	MAJOR EN INGENIERÍA QUÍMICA	81140	MINOR DE PROFUNDIDAD EN TECNOLOGÍA AMBIENTAL		NO	REGULAR	2013	ORDINARIA PAA		"5,47"	475	0	475	30	550	ING CIVIL		NO		NO		NO	IX	MUNICIPAL SUBVENCIONADO GRATUITO	2012	100	-	52
401	441	441	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	REGULAR	2013	ORDINARIA PAA		"5,05"	450	0	450	20	520	ING CIVIL		NO		NO		NO	V	PARTICULAR PAGADO	2012	100	-	442
402	442	442	M	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81113	MINOR DE AMPLITUD EN EXTERNALIDADES DE TRANSPORTE		NO	REGULAR	2013	ORDINARIA PAA		"4,74"	395	0	395	110	565	ING CIVIL		NO		NO		NO	V	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	231
403	444	444	M	C2013	40013	ING CIVIL	 	 	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81149	MINOR DE PROFUNDIDAD EN ENERGÍA ELÉCTRICA		NO	REGULAR	2013	ORDINARIA PAA		"5,45"	500	0	500	0	540	"ING CIVIL, MAG EN CS INGENIERIA"		NO		NO		NO	VIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	247
404	445	445	M	C2013	40013	ING CIVIL	40093	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Minería"	81006	MAJOR EN INGENIERÍA CIVIL	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,26"	490	0	490	10	530	ING CIVIL		NO		NO		NO	VIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	269
405	446	446	M	C2013	40013	ING CIVIL	 	 	81007	MAJOR EN INGENIERÍA MINERA	81007	MAJOR EN INGENIERÍA MINERA	81130	MINOR DE AMPLITUD EN AGUA Y ENERGÍA		NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,57"	240	0	240	110	350		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	308
406	447	447	M	C2013	40013	ING CIVIL	 	 	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	 	 	 	NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"6,27"	155	0	155	0	155		ING CIVIL()	NO		NO		NO	VIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	333	-	35
407	448	448	M	C2013	40013	ING CIVIL	 	 	 	 	81099	"MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE (V.2016)
"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería de Software	SI	REGULAR	2013	ORDINARIA PAA		"4,05"	240	0	240	170	450	ING CIVIL		NO		NO		NO	VII	PARTICULAR PAGADO	2012	100	-	588
408	452	452	M	C2013	40013	ING CIVIL	 	 	81017	MAJOR EN INGENIERÍA AMBIENTAL	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"5,04"	410	0	410	60	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	146
409	453	453	M	C2013	40013	ING CIVIL	 	 	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81132	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA CIVIL		NO	REGULAR	2013	ORDINARIA PAA		"5,24"	485	0	485	0	535	ING CIVIL		NO		NO		NO	X	PARTICULAR PAGADO	2012	100	-	25
410	454	454	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	 	 	 	 	 	NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ORDINARIA PAA		"3,62"	25	0	25	90	115		ING CIVIL()	NO		NO		NO	X	PARTICULAR PAGADO	2012	334	-	477
411	456	456	M	C2013	40013	ING CIVIL	 	 	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería Hidráulica	NO	REGULAR	2013	ORDINARIA PAA		"5,06"	230	100	330	20	310	ING CIVIL		NO		NO		NO	X	PARTICULAR PAGADO	2012	100	-	175
412	457	457	M	C2013	40013	ING CIVIL	40094	"Ingeniero Civil de Industrias, Diploma en Ingeniería Matemática"	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81132	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA CIVIL		NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,24"	225	0	225	120	345		ING CIVIL()	NO		NO		NO	X	PARTICULAR PAGADO	2012	333	-	343
413	459	459	M	C2013	40013	ING CIVIL	 	 	81001	MAJOR EN INGENIERÍA QUÍMICA	81001	MAJOR EN INGENIERÍA QUÍMICA	81139	MINOR DE PROFUNDIDAD EN INGENIERÍA DE PROCESOS		NO	REGULAR	2013	ORDINARIA PAA		"5,32"	500	0	500	20	570	ING CIVIL		NO		NO		NO	IX	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	192
414	462	462	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81007	MAJOR EN INGENIERÍA MINERA	81142	MINOR DE PROFUNDIDAD EN GESTIÓN MINERA		NO	REGULAR	2013	ORDINARIA PAA		"5,30"	495	0	495	50	590	ING CIVIL		NO		NO		NO	VI	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	180
415	463	463	M	C2013	40013	ING CIVIL	40093	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Minería"	81007	MAJOR EN INGENIERÍA MINERA	81007	MAJOR EN INGENIERÍA MINERA	81142	MINOR DE PROFUNDIDAD EN GESTIÓN MINERA		NO	REGULAR	2013	ORDINARIA PAA		"4,58"	360	0	360	150	570	ING CIVIL		NO		NO		NO	VII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	451
416	464	464	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81014	MAJOR EN INGENIERÍA DE CONSTRUCCIÓN	81151	MINOR DE PROFUNDIDAD EN OBRAS CIVILES		NO	REGULAR	2013	ORDINARIA PAA		"5,33"	445	0	445	30	535	ING CIVIL		NO		NO		NO	VII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	100	-	127
417	465	465	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 4: Profundización en Ingeniería de Transporte	NO	REGULAR	2013	ORDINARIA PAA		"4,45"	360	0	360	110	520	ING CIVIL		NO		NO		NO	I	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	637
418	466	466	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"4,49"	390	0	390	70	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	267
419	467	467	M	C2013	40013	ING CIVIL	 	 	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"4,73"	410	0	410	80	540	ING CIVIL		NO		NO		NO	VI	PARTICULAR PAGADO	2012	100	-	277
420	468	468	M	C2013	40013	ING CIVIL	 	 	81007	MAJOR EN INGENIERÍA MINERA	81014	MAJOR EN INGENIERÍA DE CONSTRUCCIÓN	81123	MINOR DE AMPLITUD EN INGENIERÍA ESTRUCTURAL		NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,49"	155	0	155	90	245		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	333	-	510
421	469	469	M	C2013	40013	ING CIVIL	40006	Ingeniero Civil Mecánico	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81119	MINOR DE AMPLITUD EN FUNDAMENTOS DE INGENIERÍA AEROESPACIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,70"	365	0	365	110	535	ING CIVIL		NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	100	-	434
422	472	472	M	C2013	40013	ING CIVIL	40009	"Ingeniero Civil de Biotecnología, área procesos"	81021	MAJOR EN INGENIERÍA BIOMÉDICA	81001	MAJOR EN INGENIERÍA QUÍMICA	81139	MINOR DE PROFUNDIDAD EN INGENIERÍA DE PROCESOS		NO	REGULAR	2013	ORDINARIA PAA		"5,15"	435	0	435	70	555	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	390
423	473	473	M	C2013	40013	ING CIVIL	 	 	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN		SI	REGULAR	2013	ORDINARIA PAA		"5,12"	480	0	480	45	570	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	610
424	474	474	F	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,23"	315	55	370	170	545	ING CIVIL	LIC CCNN Y MATEMATIC()	NO		NO		NO	XIII	PARTICULAR PAGADO	2011	100	-	426
425	475	475	M	C2013	40013	ING CIVIL	40095	"Ingeniero Civil de Industrias, Diploma en Ingeniería en Tecnologías de Información"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		SI	EN VIA DE TITULACION	2013	ORDINARIA PAA		"5,54"	545	0	545	10	555	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	101	-	546
426	476	476	M	C2013	40013	ING CIVIL	40096	"Ingeniero Civil de Industrias, Diploma en Ingeniería de la Construcción"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,15"	500	0	500	10	550	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	203
427	477	477	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81121	MINOR DE AMPLITUD EN HIDROLOGÍA AMBIENTAL		NO	REGULAR	2013	ORDINARIA PAA		"4,96"	435	0	435	50	545	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	257
428	478	478	F	C2013	40013	ING CIVIL	 	 	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 4: Profundización en Ingeniería de Transporte	SI	REGULAR	2013	ORDINARIA PAA		"5,26"	455	0	455	40	535	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	199
429	479	479	M	C2013	40013	ING CIVIL	40094	"Ingeniero Civil de Industrias, Diploma en Ingeniería Matemática"	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81103	MINOR DE PROFUNDIDAD EN TEORÍA Y APLICACIÓN DE INGENIERÍA MATEMÁTICA	Track 1: Modelamiento Determinístico	NO	REGULAR	2013	ORDINARIA PAA		"4,95"	465	0	465	50	565	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	377
430	480	480	M	C2013	40013	ING CIVIL	40094	"Ingeniero Civil de Industrias, Diploma en Ingeniería Matemática"	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81018	MAJOR EN INGENIERÍA MATEMÁTICA	81126	MINOR DE AMPLITUD EN PROGRAMACIÓN	Track 3: Teoría de la Computación	SI	REGULAR	2013	ORDINARIA PAA		"5,34"	495	0	495	30	580	ING CIVIL		NO		NO		NO	IV	PARTICULAR PAGADO	2012	100	-	169
431	481	481	M	C2013	40013	ING CIVIL	 	 	81016	MAJOR EN CIENCIAS AMBIENTALES	81017	MAJOR EN INGENIERÍA AMBIENTAL	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,65"	435	0	435	80	545	ING CIVIL		NO		NO		NO	II	PARTICULAR PAGADO	2012	100	-	465
432	482	482	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81099	"MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE (V.2016)
"	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Computación	NO	REGULAR	2013	ORDINARIA PAA		"4,61"	330	0	330	140	500	ING CIVIL		NO		NO		NO	IV	PARTICULAR PAGADO	2012	100	-	438
433	483	483	M	C2013	40013	ING CIVIL	 	 	81007	MAJOR EN INGENIERÍA MINERA	81007	MAJOR EN INGENIERÍA MINERA	81142	MINOR DE PROFUNDIDAD EN GESTIÓN MINERA		NO	REGULAR	2013	ORDINARIA PAA		"4,98"	500	0	500	20	570	"ING CIVIL, MAG EN CS INGENIERIA"		NO		NO		NO	V	PARTICULAR PAGADO	2012	100	-	240
434	485	485	M	C2013	40013	ING CIVIL	 	 	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,12"	420	0	420	50	515	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	212
435	486	486	F	C2013	40013	ING CIVIL	40006	Ingeniero Civil Mecánico	81006	MAJOR EN INGENIERÍA CIVIL	81008	MAJOR EN INGENIERÍA MECÁNICA	81119	MINOR DE AMPLITUD EN FUNDAMENTOS DE INGENIERÍA AEROESPACIAL		SI	REGULAR	2013	ORDINARIA PAA		"4,98"	480	0	480	45	590	ING CIVIL		NO		NO		NO	IV	PARTICULAR PAGADO	2012	100	-	364
436	488	488	M	C2013	40013	ING CIVIL	 	 	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA		NO	REGULAR	2013	ORDINARIA PAA		"4,84"	430	0	430	70	550	ING CIVIL		NO		NO		NO	II	PARTICULAR PAGADO	2012	100	-	671
437	490	490	F	C2013	40013	ING CIVIL	 	 	81021	MAJOR EN INGENIERÍA BIOMÉDICA	81098	MAJOR EN INVESTIGACIÓN OPERATIVA (V.2014)	81115	MINOR DE AMPLITUD EN INGENIERÍA QUÍMICA		SI	REGULAR	2013	ORDINARIA PAA		"4,78"	390	0	390	110	550	ING CIVIL		NO		NO		NO	IV	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	516
438	491	491	M	C2013	40013	ING CIVIL	 	 	81008	MAJOR EN INGENIERÍA MECÁNICA	81008	MAJOR EN INGENIERÍA MECÁNICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,61"	230	0	230	100	370	ING CIVIL		NO		NO		NO	IV	PARTICULAR PAGADO	2012	100	-	585
439	492	492	M	C2013	40013	ING CIVIL	 	 	81006	MAJOR EN INGENIERÍA CIVIL	81006	MAJOR EN INGENIERÍA CIVIL	10000	SELECCIONAR ESTE TEXTO PARA REALIZAR INSCRIPCIÓN	Track Diseño y Construcción de Obras	NO	REGULAR	2013	ORDINARIA PAA		"4,99"	470	0	470	60	585	"ING CIVIL, MAG EN CS INGENIERIA"		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	555
440	496	496	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81112	MINOR DE AMPLITUD EN LOGÍSTICA Y TRANSPORTE DE CARGA		NO	REGULAR	2013	ORDINARIA PAA		"5,02"	450	0	450	30	535	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	391
441	497	497	F	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Área 4: Profundización en Ingeniería de Transporte	NO	REGULAR	2013	ORDINARIA PAA		"4,87"	390	0	390	70	510	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	485
442	498	498	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81112	MINOR DE AMPLITUD EN LOGÍSTICA Y TRANSPORTE DE CARGA		NO	REGULAR	2013	ORDINARIA PAA		"5,48"	460	0	460	0	510	"ING CIVIL, MAG EN CS INGENIERIA"		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	95
443	499	499	M	C2013	40013	ING CIVIL	 	 	81007	MAJOR EN INGENIERÍA MINERA	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,06"	365	0	365	10	420	ING CIVIL		NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	100	-	79
444	500	500	M	C2013	40013	ING CIVIL	40007	Ingeniero Civil de Computación	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"4,90"	485	0	485	60	600	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	327
445	505	505	M	C2013	40013	ING CIVIL	40094	"Ingeniero Civil de Industrias, Diploma en Ingeniería Matemática"	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81002	MAJOR EN SISTEMAS DE TRANSPORTE	81131	MINOR DE PROFUNDIDAD ARTICULACIÓN INGENIERÍA DE TRANSPORTE	Área 2: Herramientas de Análisis y Modelación (versión transporte)	SI	REGULAR	2013	ORDINARIA PAA		"5,88"	515	0	515	0	535	"ING CIVIL, MAG EN CS INGENIERIA"		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	92
446	506	506	F	C2013	40013	ING CIVIL	40009	"Ingeniero Civil de Biotecnología, área procesos"	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81022	MAJOR EN INGENIERÍA BIOLÓGICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	NO VIGENTE RENUNCIADO	2013	ORDINARIA PAA		"4,59"	275	0	275	120	395		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	333	-	159
447	507	507	M	C2013	40013	ING CIVIL	 	 	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81152	MINOR DE PROFUNDIDAD EN FUNDAMENTOS CIENTÍFICOS Y TECNOLÓGICOS DE LA COMPUTACIÓN		NO	REGULAR	2013	ORDINARIA PAA		"5,68"	495	0	495	0	535	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	58
448	510	510	F	C2013	40013	ING CIVIL	 	 	81020	"MAJOR EN INGENIERÍA, DISEÑO E INNOVACIÓN"	 	 	 	 	 	NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ORDINARIA PAA		"5,57"	35	0	35	60	95		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR PAGADO	2012	334	-	597
449	511	511	F	C2013	40013	ING CIVIL	 	 	81007	MAJOR EN INGENIERÍA MINERA	81012	MAJOR EN INGENIERÍA ESTRUCTURAL	81125	MINOR DE AMPLITUD EN INGENIERÍA DE CONSTRUCCIÓN		NO	NO VIGENTE RENDIMIENTO ACADEMICO	2013	ORDINARIA PAA		"0,00"	150	0	150	100	250		ING CIVIL()	NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	334	-	661
450	512	512	M	C2013	40013	ING CIVIL	40082	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Computación"	81017	MAJOR EN INGENIERÍA AMBIENTAL	81017	MAJOR EN INGENIERÍA AMBIENTAL	81118	MINOR DE AMPLITUD EN INGENIERÍA MECÁNICA		SI	REGULAR	2013	ORDINARIA PAA		"4,62"	410	0	410	105	570	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	614
451	513	513	M	C2013	40013	ING CIVIL	40062	"Ingeniero Civil de Industrias, Diploma en Ingeniería Eléctrica"	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81013	MAJOR EN INGENIERÍA ELÉCTRICA	81148	MINOR DE PROFUNDIDAD EN ELECTRÓNICA Y TELECOMUNICACIONES		NO	AUSENTE POR NO INSCRITO EN CURSO	2013	ORDINARIA PAA		"6,03"	445	0	445	0	445	ING CIVIL		NO		NO		NO	XIII	MUNICIPAL SUBVENCIONADO GRATUITO	2012	227	-	185
452	514	514	M	C2013	40013	ING CIVIL	 	 	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81015	MAJOR EN COMPUTACIÓN E INGENIERÍA DE SOFTWARE	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL		NO	REGULAR	2013	ORDINARIA PAA		"5,69"	465	0	465	0	530	ING CIVIL		NO		NO		NO	XIII	PARTICULAR FINANCIAMIENTO COMPARTIDO	2012	100	-	81
453	515	515	M	C2013	40013	ING CIVIL	40092	"Ingeniero Civil de Industrias, Diploma en Ingeniería de Transporte"	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81009	MAJOR EN INVESTIGACIÓN OPERATIVA	81114	MINOR DE AMPLITUD EN SISTEMAS DE TRANSPORTE		SI	REGULAR	2013	ORDINARIA PAA		"5,13"	470	0	470	20	555	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	458
454	518	518	M	C2013	40013	ING CIVIL	 	 	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81003	MAJOR EN SISTEMAS AUTÓNOMOS Y ROBÓTICOS	81134	MINOR DE PROFUNDIDAD EN AUTOMATIZACIÓN E INTELIGENCIA COMPUTACIONAL		NO	REGULAR	2013	ORDINARIA PAA		"4,78"	380	0	380	100	525	ING CIVIL		NO		NO		NO	VI	PARTICULAR PAGADO	2012	100	-	241
455	521	521	M	C2013	40013	ING CIVIL	 	 	81019	MAJOR EN INGENIERÍA Y ARQUITECTURA	81010	MAJOR EN INGENIERÍA HIDRÁULICA	81120	MINOR DE AMPLITUD EN INGENIERÍA INDUSTRIAL	Track Ingeniería Hidráulica	SI	REGULAR	2013	ORDINARIA PAA		"5,30"	465	0	465	0	520	ING CIVIL		NO		NO		NO	XIII	PARTICULAR PAGADO	2012	100	-	66
